BLD_BGPARTS_GRASS1	grass
BLD_BGPARTS_GRASS2	stalwart
BLD_BGPARTS_BUSH	medicinal shrub
BLD_BGPARTS_FLOWER_PINK	coralily
BLD_BGPARTS_FLOWER_ORANGE	daffodaisy
BLD_BGPARTS_FLOWER_WHITE	milkblossom
BLD_BGPARTS_IVY	ivy
BLD_BGPARTS_FOREST_FLOWER	tingleweed
BLD_BGPARTS_FOREST_GRASS	cotton plant
BLD_BGPARTS_MUSHROOM	marshroom
BLD_BGPARTS_LOTUS	large lily pad
BLD_BGPARTS_TROPICAL_PLANT1	fibrous fern
BLD_BGPARTS_TROPICAL_PLANT2	bigonia
BLD_BGPARTS_RAFFLESIA	pongsettia
BLD_BGPARTS_DESERT_GRASS	sandwort
BLD_BGPARTS_CUCTUS_ROUND	prickly peach cactus
BLD_BGPARTS_CUCTUS_TOP	cactus crown
BLD_BGPARTS_CUCTUS_BODY	cactus trunk
BLD_BGPARTS_POISON_GRASS1	witchgrass
BLD_BGPARTS_POISON_GRASS2	bogwort
BLD_BGPARTS_POISON_MUSHROOM	frogstool
BLD_BGPARTS_POISON_DEADTREE	tainted tree
BLD_BGPARTS_FALLEN_TREE	twisted tree trunk
BLD_BGPARTS_SNOW_GRASS	freezia
BLD_BGPARTS_SHADOW_GRASS1	septic shrub
BLD_BGPARTS_SHADOW_GRASS2	shadowgrass
BLD_BGPARTS_TREE1_A	plumberry seedling
BLD_BGPARTS_TREE1_B	plumberry sapling
BLD_BGPARTS_TREE1_C1	plumberry tree
BLD_BGPARTS_TREE1_STUMP	plumberry stump
BLD_BGPARTS_TREE1_C2	big plumberry tree
BLD_BGPARTS_TREE2_A	palm seedling
BLD_BGPARTS_TREE2_B	palm sapling
BLD_BGPARTS_TREE2_C	palm tree
BLD_BGPARTS_TREE2_STUMP	palm stump
BLD_BGPARTS_TREE3_A	cedar seedling
BLD_BGPARTS_TREE3_B	cedar sapling
BLD_BGPARTS_TREE3_C	cedar tree
BLD_BGPARTS_TREE3_STUMP	cedar stump
BLD_BGPARTS_TREE3_SNOW	snowy cedar
BLD_BGPARTS_ROCK	pumice
BLD_BGPARTS_DEADTREE	dead tree
BLD_BGPARTS_DYBBUK	metal memorial
BLD_BGPARTS_HORN_BONE	huge horn
